date,customer_id,amount,category
2026-06-19,CUST0015,247.42,Shirts
2026-06-19,CUST0140,344.9,Ethnic Wear
2026-06-19,CUST0153,381.91,Kids Wear
2026-06-19,CUST0112,241.05,Shirts
2026-06-19,CUST0076,223.36,Trousers
2026-06-19,CUST0084,248.56,Saree
2026-06-19,CUST0072,223.26,Trousers
2026-06-19,CUST0054,223.41,Trousers
2026-06-19,CUST0012,274.48,Trousers
2026-06-19,CUST0055,229.15,Shirts
2026-06-19,CUST0070,229.15,Shirts
2026-06-19,CUST0087,273.08,Saree
2026-06-19,CUST0018,251.19,Saree
2026-06-19,CUST0036,231.54,Trousers
2026-06-19,CUST0065,254.19,Saree
2026-06-20,CUST0049,236.69,Shirts
2026-06-20,CUST0127,309.34,Saree
2026-06-20,CUST0091,206.23,Shirts
2026-06-20,CUST0047,237.77,Saree
2026-06-20,CUST0038,199.38,Ethnic Wear
2026-06-20,CUST0016,229.36,Kids Wear
2026-06-20,CUST0080,221.39,Ethnic Wear
2026-06-20,CUST0034,199.69,Ethnic Wear
2026-06-20,CUST0109,212.3,Trousers
2026-06-20,CUST0021,187.17,Saree
2026-06-20,CUST0049,242.86,Shirts
2026-06-20,CUST0044,209.68,Shirts
2026-06-20,CUST0044,191.88,Trousers
2026-06-20,CUST0028,220.94,Kids Wear
2026-06-20,CUST0094,271.64,Kurta
2026-06-21,CUST0151,301.16,Kids Wear
2026-06-21,CUST0119,239.92,Saree
2026-06-21,CUST0049,201.8,Trousers
2026-06-21,CUST0032,186.01,Trousers
2026-06-21,CUST0022,240.22,Kurta
2026-06-21,CUST0010,204.48,Saree
2026-06-21,CUST0086,208.56,Trousers
2026-06-21,CUST0048,234.66,Kurta
2026-06-21,CUST0107,281.31,Kurta
2026-06-21,CUST0036,219.96,Kurta
2026-06-21,CUST0111,227.71,Shirts
2026-06-21,CUST0011,219.98,Ethnic Wear
2026-06-21,CUST0030,244.39,Ethnic Wear
2026-06-21,CUST0120,255.56,Saree
2026-06-22,CUST0124,323.38,Kurta
2026-06-22,CUST0137,249.07,Shirts
2026-06-22,CUST0032,225.37,Saree
2026-06-22,CUST0155,325.74,Shirts
2026-06-22,CUST0157,283.94,Ethnic Wear
2026-06-22,CUST0019,243.1,Trousers
2026-06-22,CUST0052,198.04,Trousers
2026-06-22,CUST0064,243.59,Kurta
2026-06-22,CUST0029,253.46,Saree
2026-06-22,CUST0108,239.28,Ethnic Wear
2026-06-22,CUST0008,232.11,Trousers
2026-06-22,CUST0005,227.47,Ethnic Wear
2026-06-22,CUST0028,217.0,Kids Wear
2026-06-22,CUST0073,223.48,Ethnic Wear
2026-06-22,CUST0041,261.43,Trousers
2026-06-22,CUST0118,190.92,Saree
2026-06-23,CUST0138,222.05,Kids Wear
2026-06-23,CUST0143,354.69,Kurta
2026-06-23,CUST0071,205.09,Ethnic Wear
2026-06-23,CUST0122,328.86,Kurta
2026-06-23,CUST0081,243.28,Trousers
2026-06-23,CUST0034,218.08,Saree
2026-06-23,CUST0055,250.29,Ethnic Wear
2026-06-23,CUST0052,260.77,Kurta
2026-06-23,CUST0018,258.28,Kurta
2026-06-23,CUST0012,214.02,Ethnic Wear
2026-06-23,CUST0077,230.36,Kids Wear
2026-06-23,CUST0111,227.27,Shirts
2026-06-23,CUST0009,223.02,Kurta
2026-06-23,CUST0088,259.39,Kurta
2026-06-23,CUST0068,207.34,Trousers
2026-06-24,CUST0145,338.36,Ethnic Wear
2026-06-24,CUST0152,318.34,Kurta
2026-06-24,CUST0088,255.31,Saree
2026-06-24,CUST0159,311.52,Shirts
2026-06-24,CUST0034,273.45,Kids Wear
2026-06-24,CUST0059,218.87,Shirts
2026-06-24,CUST0038,244.04,Kurta
2026-06-24,CUST0083,260.09,Trousers
2026-06-24,CUST0097,233.2,Trousers
2026-06-24,CUST0088,268.91,Ethnic Wear
2026-06-24,CUST0093,244.03,Ethnic Wear
2026-06-25,CUST0124,285.49,Saree
2026-06-25,CUST0130,356.77,Saree
2026-06-25,CUST0126,308.67,Kids Wear
2026-06-25,CUST0158,330.91,Shirts
2026-06-25,CUST0021,227.52,Kurta
2026-06-25,CUST0100,237.29,Kids Wear
2026-06-25,CUST0104,222.04,Trousers
2026-06-25,CUST0113,271.95,Kids Wear
2026-06-25,CUST0015,243.93,Kids Wear
2026-06-25,CUST0042,229.51,Kurta
2026-06-25,CUST0118,185.31,Shirts
2026-06-25,CUST0008,214.79,Trousers
2026-06-25,CUST0073,222.46,Kids Wear
2026-06-25,CUST0020,237.18,Kurta
2026-06-25,CUST0065,255.55,Saree
2026-06-25,CUST0039,169.51,Ethnic Wear
2026-06-25,CUST0014,274.12,Ethnic Wear
2026-06-25,CUST0023,234.1,Kurta
2026-06-25,CUST0162,260.97,Ethnic Wear
2026-06-26,CUST0071,237.43,Trousers
2026-06-26,CUST0124,321.43,Saree
2026-06-26,CUST0009,243.22,Kids Wear
2026-06-26,CUST0068,259.22,Ethnic Wear
2026-06-26,CUST0141,267.2,Trousers
2026-06-26,CUST0137,372.62,Ethnic Wear
2026-06-26,CUST0017,247.83,Saree
2026-06-26,CUST0156,362.7,Ethnic Wear
2026-06-26,CUST0094,257.89,Kurta
2026-06-26,CUST0121,287.17,Trousers
2026-06-26,CUST0069,221.76,Ethnic Wear
2026-06-26,CUST0055,217.45,Kids Wear
2026-06-26,CUST0119,226.81,Kurta
2026-06-27,CUST0009,230.97,Kids Wear
2026-06-27,CUST0001,226.43,Shirts
2026-06-27,CUST0111,245.1,Trousers
2026-06-27,CUST0066,282.15,Trousers
2026-06-27,CUST0030,224.48,Saree
2026-06-27,CUST0136,352.95,Trousers
2026-06-27,CUST0144,363.17,Kids Wear
2026-06-27,CUST0003,199.62,Saree
2026-06-27,CUST0029,229.14,Shirts
2026-06-27,CUST0058,235.13,Shirts
2026-06-27,CUST0057,241.53,Ethnic Wear
2026-06-27,CUST0086,242.4,Saree
2026-06-27,CUST0121,276.71,Ethnic Wear
2026-06-27,CUST0040,198.41,Kurta
2026-06-27,CUST0089,225.2,Trousers
2026-06-27,CUST0139,289.92,Kurta
2026-06-27,CUST0081,214.94,Shirts
2026-06-28,CUST0153,287.15,Kurta
2026-06-28,CUST0144,328.27,Shirts
2026-06-28,CUST0154,365.97,Trousers
2026-06-28,CUST0087,234.13,Saree
2026-06-28,CUST0025,236.51,Shirts
2026-06-28,CUST0132,311.86,Ethnic Wear
2026-06-28,CUST0063,239.36,Trousers
2026-06-28,CUST0017,241.44,Saree
2026-06-28,CUST0126,289.3,Trousers
2026-06-28,CUST0113,233.14,Saree
2026-06-28,CUST0061,187.03,Trousers
2026-06-28,CUST0061,234.34,Ethnic Wear
2026-06-28,CUST0111,242.54,Saree
2026-06-28,CUST0085,296.58,Kurta
2026-06-28,CUST0083,205.78,Shirts
2026-06-28,CUST0055,230.19,Kurta
2026-06-28,CUST0103,253.8,Ethnic Wear
2026-06-28,CUST0052,263.57,Saree
2026-06-29,CUST0136,315.32,Saree
2026-06-29,CUST0156,288.59,Saree
2026-06-29,CUST0163,291.64,Ethnic Wear
2026-06-29,CUST0121,284.5,Saree
2026-06-29,CUST0111,289.76,Ethnic Wear
2026-06-29,CUST0010,249.67,Kurta
2026-06-29,CUST0032,199.95,Ethnic Wear
2026-06-29,CUST0012,237.49,Kids Wear
2026-06-29,CUST0024,270.07,Trousers
2026-06-29,CUST0058,212.27,Shirts
2026-06-29,CUST0025,254.78,Trousers
2026-06-29,CUST0013,210.24,Shirts
2026-06-29,CUST0070,220.84,Ethnic Wear
2026-06-30,CUST0138,287.79,Kids Wear
2026-06-30,CUST0034,212.01,Kids Wear
2026-06-30,CUST0111,236.71,Kurta
2026-06-30,CUST0101,273.75,Kurta
2026-06-30,CUST0055,215.42,Saree
2026-06-30,CUST0094,226.95,Kids Wear
2026-06-30,CUST0063,196.23,Kurta
2026-06-30,CUST0072,255.34,Saree
2026-06-30,CUST0063,204.23,Trousers
2026-06-30,CUST0001,246.84,Kids Wear
2026-06-30,CUST0038,240.69,Trousers
2026-06-30,CUST0070,194.81,Shirts
2026-06-30,CUST0148,343.63,Shirts
2026-06-30,CUST0031,222.41,Trousers
2026-06-30,CUST0127,411.08,Kids Wear
2026-06-30,CUST0123,371.9,Trousers
2026-06-30,CUST0008,267.68,Saree
2026-06-30,CUST0008,208.44,Trousers
2026-07-01,CUST0134,396.53,Shirts
2026-07-01,CUST0052,241.26,Shirts
2026-07-01,CUST0114,243.66,Saree
2026-07-01,CUST0075,218.0,Saree
2026-07-01,CUST0011,201.99,Ethnic Wear
2026-07-01,CUST0139,338.33,Saree
2026-07-01,CUST0087,242.42,Ethnic Wear
2026-07-01,CUST0149,246.64,Trousers
2026-07-01,CUST0008,239.62,Shirts
2026-07-01,CUST0062,241.5,Kurta
2026-07-01,CUST0110,254.55,Kurta
2026-07-01,CUST0008,204.08,Kids Wear
2026-07-01,CUST0009,248.05,Saree
2026-07-02,CUST0134,319.98,Kids Wear
2026-07-02,CUST0027,281.64,Saree
2026-07-02,CUST0011,240.81,Kurta
2026-07-02,CUST0161,372.96,Ethnic Wear
2026-07-02,CUST0075,242.33,Saree
2026-07-02,CUST0140,306.03,Saree
2026-07-02,CUST0041,246.85,Trousers
2026-07-02,CUST0041,217.14,Kids Wear
2026-07-02,CUST0051,205.22,Shirts
2026-07-02,CUST0083,251.41,Trousers
2026-07-02,CUST0041,210.63,Kids Wear
2026-07-02,CUST0120,254.68,Shirts
2026-07-02,CUST0059,263.96,Saree
2026-07-02,CUST0073,214.48,Kids Wear
2026-07-02,CUST0010,259.08,Kurta
2026-07-03,CUST0142,324.08,Saree
2026-07-03,CUST0131,303.32,Trousers
2026-07-03,CUST0015,235.33,Ethnic Wear
2026-07-03,CUST0113,255.68,Shirts
2026-07-03,CUST0085,241.92,Shirts
2026-07-03,CUST0071,243.53,Trousers
